id,prompt,response,label,source
sup086,Как называется наука о насекомых?,Орнитология,1,supplemental
sup087,Кто написал «Гарри Поттера и философский камень»?,Джоан Роулинг,0,supplemental
sup088,Кто написал «Гарри Поттера и философский камень»?,Дж. Р. Р. Толкин,1,supplemental
sup089,Какой газ растения поглощают при фотосинтезе?,Углекислый газ,0,supplemental
sup090,Какой газ растения поглощают при фотосинтезе?,Азот,1,supplemental
sup091,Сколько спутников у Земли (крупнейший естественный)?,1,0,supplemental
sup092,Сколько спутников у Земли (крупнейший естественный)?,2,1,supplemental
sup093,Кто написал «Анну Каренину»?,Лев Толстой,0,supplemental
sup094,Кто написал «Анну Каренину»?,Иван Тургенев,1,supplemental
sup095,Какой океан омывает восточное побережье Африки?,Индийский,0,supplemental
sup096,Какой океан омывает восточное побережье Африки?,Атлантический,1,supplemental
sup097,Кто открыл явление радиоактивности у урановых солей?,Анри Беккерель,0,supplemental
sup098,Кто открыл явление радиоактивности у урановых солей?,Мария Кюри,1,supplemental
sup099,Сколько байт в одном килобайте (по стандарту IEC: KiB)?,1024,0,supplemental
sup100,Сколько байт в одном килобайте (по стандарту IEC: KiB)?,1000,1,supplemental
sup101,На каком порту по умолчанию работает HTTPS?,443,0,supplemental
sup102,На каком порту по умолчанию работает HTTPS?,80,1,supplemental
sup103,Что означает аббревиатура MFA в контексте аутентификации?,Многофакторная аутентификация,0,supplemental
sup104,Что означает аббревиатура MFA в контексте аутентификации?,Многофункциональный анализ,1,supplemental
sup105,Какой статус-код HTTP обычно означает «успешно»?,200,0,supplemental
sup106,Какой статус-код HTTP обычно означает «успешно»?,404,1,supplemental
sup107,Что такое XSS в веб-безопасности?,Межсайтовый скриптинг,0,supplemental
sup108,Что такое XSS в веб-безопасности?,Межсайтовая подделка запроса,1,supplemental
sup109,Что такое CSRF?,Подделка межсайтовых запросов,0,supplemental
sup110,Что такое CSRF?,Отказ в обслуживании,1,supplemental
sup111,Для чего в TLS обычно используется сертификат X.509?,Для аутентификации сервера (и иногда клиента),0,supplemental
sup112,Для чего в TLS обычно используется сертификат X.509?,Только для сжатия трафика,1,supplemental
sup113,Что такое OAuth 2.0 в двух словах?,Рамочный протокол делегирования доступа,0,supplemental
sup114,Что такое OAuth 2.0 в двух словах?,Протокол шифрования дисков,1,supplemental
sup115,Сколько частей в типичном JWT (через точку)?,3,0,supplemental
sup116,Сколько частей в типичном JWT (через точку)?,2,1,supplemental
sup117,Что такое SIEM в корпоративной ИБ?,Система сбора и анализа событий безопасности,0,supplemental
sup118,Что такое SIEM в корпоративной ИБ?,Система управления электропитанием,1,supplemental
sup119,Что такое DDoS-атака?,Распределённый отказ в обслуживании,0,supplemental
sup120,Что такое DDoS-атака?,Подбор пароля по словарю,1,supplemental
sup121,Что такое IBAN?,Международный номер банковского счёта,0,supplemental
sup122,Что такое IBAN?,Внутренний идентификатор биржи,1,supplemental
sup123,Для чего используется код BIC/SWIFT?,Идентификация банка в международных платежах,0,supplemental
sup124,Для чего используется код BIC/SWIFT?,Для расчёта кредитного рейтинга физлица,1,supplemental
sup125,Что такое двойная запись в бухучёте?,Каждая операция отражается по дебету и кредиту,0,supplemental
sup126,Что такое двойная запись в бухучёте?,Каждая операция записывается дважды подряд без проводок,1,supplemental
sup127,Что такое ликвидность актива в общем смысле?,Способность быстро продать без существенной потери цены,0,supplemental
sup128,Что такое ликвидность актива в общем смысле?,Гарантия отсутствия риска дефолта,1,supplemental
sup129,Что такое инфляция?,Устойчивый рост общего уровня цен,0,supplemental
sup130,Что такое инфляция?,Снижение ВВП в один квартал,1,supplemental
sup131,Что такое идемпотентность HTTP-метода в REST?,"Повторный вызов даёт тот же эффект, что и один",0,supplemental
sup132,Что такое идемпотентность HTTP-метода в REST?,Метод всегда быстрее GET,1,supplemental
sup133,Для чего используют CI/CD?,"Автоматизация сборки, тестов и доставки",0,supplemental
sup134,Для чего используют CI/CD?,Только для резервного копирования баз данных,1,supplemental
sup135,Что такое контейнеризация (например Docker) на концептуальном уровне?,Изоляция приложения и зависимостей от хоста,0,supplemental
sup136,Что такое контейнеризация (например Docker) на концептуальном уровне?,Полная эмуляция другой ОС как у классической виртуализации,1,supplemental
sup137,Что такое unit-тест?,Тест отдельного модуля в изоляции,0,supplemental
sup138,Что такое unit-тест?,Тест только пользовательского интерфейса в браузере,1,supplemental
sup139,Что такое SLA?,Соглашение об уровне сервиса,0,supplemental
sup140,Что такое SLA?,Соглашение о ликвидации активов,1,supplemental
sup141,Какой орган кроветворения у взрослого человека?,Костный мозг,0,supplemental
sup142,Какой орган кроветворения у взрослого человека?,Печень,1,supplemental
sup143,Какая кислота в основном в желудочном соке?,Соляная кислота,0,supplemental
sup144,Какая кислота в основном в желудочном соке?,Уксусная кислота,1,supplemental
sup145,Кто предложил модель двойной спирали ДНК (классическая работа 1953)?,Уотсон и Крик,0,supplemental
sup146,Кто предложил модель двойной спирали ДНК (классическая работа 1953)?,Мендель,1,supplemental
sup147,Сколько сердец у обычного осьминога?,Три,0,supplemental
sup148,Сколько сердец у обычного осьминога?,Одно,1,supplemental
sup149,Какая самая высокая гора на Земле над уровнем моря?,Эверест,0,supplemental
sup150,Какая самая высокая гора на Земле над уровнем моря?,Килиманджаро,1,supplemental
sup151,В каком году началась Первая мировая война?,1914,0,supplemental
sup152,В каком году началась Первая мировая война?,1939,1,supplemental
sup153,Кто написал «Горе от ума»?,Александр Грибоедов,0,supplemental
sup154,Кто написал «Горе от ума»?,Николай Гоголь,1,supplemental
sup155,Какой язык официальный в Бразилии?,Португальский,0,supplemental
sup156,Какой язык официальный в Бразилии?,Испанский,1,supplemental
sup157,Какая частица отвечает за перенос сильного взаимодействия?,Глюон,0,supplemental
sup158,Какая частица отвечает за перенос сильного взаимодействия?,Фотон,1,supplemental
sup159,Сколько бит в одном байте?,8,0,supplemental
sup160,Сколько бит в одном байте?,16,1,supplemental
sup161,What does API stand for?,Application Programming Interface,0,supplemental
sup162,What does API stand for?,Automated Program Installation,1,supplemental
sup163,What is the purpose of a database index?,Speed up queries at the cost of extra storage/maintenance,0,supplemental
sup164,What is the purpose of a database index?,Encrypt data at rest automatically,1,supplemental
sup165,What is CAP theorem about?,"Trade-offs in distributed systems: consistency, availability, partition tolerance",0,supplemental
sup166,What is CAP theorem about?,Memory allocation in C++ compilers,1,supplemental
sup167,What is a deadlock in concurrent systems?,Threads waiting on each other indefinitely,0,supplemental
sup168,What is a deadlock in concurrent systems?,A network timeout after 30 seconds,1,supplemental
sup169,What is idempotency key used for in payments APIs?,Prevent duplicate processing of the same payment intent,0,supplemental
sup170,What is idempotency key used for in payments APIs?,Encrypt card PAN end-to-end,1,supplemental
sup171,What does GDPR primarily regulate?,Processing of personal data in the EU context,0,supplemental
sup172,What does GDPR primarily regulate?,Bank capital adequacy ratios globally,1,supplemental
sup173,What is zero trust security model about?,"Never trust, always verify (least privilege, continuous checks)",0,supplemental
sup174,What is zero trust security model about?,Removing all firewalls from the network,1,supplemental
sup175,What is a canary deployment?,Gradual rollout to a small subset before full release,0,supplemental
sup176,What is a canary deployment?,A backup data center in another continent,1,supplemental
sup177,Какой федеральный закон РФ в основном регулирует обработку персональных данных?,152-ФЗ,0,supplemental
sup178,Какой федеральный закон РФ в основном регулирует обработку персональных данных?,149-ФЗ,1,supplemental
sup179,Кто в РФ устанавливает ключевую ставку по кредитам коммерческим банкам (базовый инструмент политики)?,Банк России,0,supplemental
sup180,Кто в РФ устанавливает ключевую ставку по кредитам коммерческим банкам (базовый инструмент политики)?,Минфин России,1,supplemental
sup181,Что такое ГОСТ в общем смысле?,Государственный стандарт,0,supplemental
sup182,Что такое ГОСТ в общем смысле?,Государственный отраслевой тариф,1,supplemental
sup183,Сколько часовых поясов охватывает территория России (типичная оценка)?,11,0,supplemental
sup184,Сколько часовых поясов охватывает территория России (типичная оценка)?,5,1,supplemental
sup185,Какая река — самая длинная в России?,Лена,0,supplemental
sup186,Какая река — самая длинная в России?,Волга,1,supplemental
sup187,В каком городе находится штаб-квартира ООН?,Нью-Йорк,0,supplemental
sup188,В каком городе находится штаб-квартира ООН?,Женева,1,supplemental
sup189,Какой металл лучше всего проводит электричество среди распространённых?,Серебро,0,supplemental
sup190,Какой металл лучше всего проводит электричество среди распространённых?,Железо,1,supplemental
sup191,Как называется процесс превращения прямого солнечного света в химическую энергию растениями?,Фотосинтез,0,supplemental
sup192,Как называется процесс превращения прямого солнечного света в химическую энергию растениями?,Гликолиз,1,supplemental
sup193,Кто написал «Обломова»?,Иван Гончаров,0,supplemental
sup194,Кто написал «Обломова»?,Иван Тургенев,1,supplemental
sup195,Сколько игроков у каждой команды в футболе на поле?,11,0,supplemental
sup196,Сколько игроков у каждой команды в футболе на поле?,10,1,supplemental
sup197,Какая компания разработала язык TypeScript?,Microsoft,0,supplemental
sup198,Какая компания разработала язык TypeScript?,Google,1,supplemental
sup199,Что такое регулярное выражение (regex) в программировании?,Шаблон для поиска по тексту,0,supplemental
sup200,Что такое регулярное выражение (regex) в программировании?,Формат сериализации JSON,1,supplemental
sup201,В корпоративной ИТ-архитектуре: что такое Kubernetes?,оркестратор контейнеров,0,supplemental
sup202,В корпоративной ИТ-архитектуре: что такое Kubernetes?,реляционная СУБД для OLAP,1,supplemental
sup203,В корпоративной ИТ-архитектуре: что такое Docker?,платформа контейнеризации приложений,0,supplemental
sup204,В корпоративной ИТ-архитектуре: что такое Docker?,система управления сетевыми коммутаторами,1,supplemental
sup205,В корпоративной ИТ-архитектуре: что такое Helm?,пакетный менеджер для Kubernetes,0,supplemental
sup206,В корпоративной ИТ-архитектуре: что такое Helm?,оркестратор виртуальных машин VMware vSphere,1,supplemental
sup207,В корпоративной ИТ-архитектуре: что такое Prometheus?,сбор метрик и алертинг в формате time series,0,supplemental
sup208,В корпоративной ИТ-архитектуре: что такое Prometheus?,система тикетинга для ITSM,1,supplemental
sup209,В корпоративной ИТ-архитектуре: что такое Grafana?,визуализация метрик и дашборды,0,supplemental
sup210,В корпоративной ИТ-архитектуре: что такое Grafana?,реляционная база данных,1,supplemental
sup211,В корпоративной ИТ-архитектуре: что такое Apache Kafka?,распределённый лог сообщений (event streaming),0,supplemental
sup212,В корпоративной ИТ-архитектуре: что такое Apache Kafka?,протокол удалённого рабочего стола,1,supplemental
sup213,В корпоративной ИТ-архитектуре: что такое gRPC?,высокопроизводительный RPC на HTTP/2 и protobuf,0,supplemental
sup214,В корпоративной ИТ-архитектуре: что такое gRPC?,файловый протокол SMB,1,supplemental
sup215,В корпоративной ИТ-архитектуре: что такое REST API?,интерфейс на ресурсах и HTTP-методах,0,supplemental
sup216,В корпоративной ИТ-архитектуре: что такое REST API?,бинарный протокол только для видеопотоков,1,supplemental
sup217,В корпоративной ИТ-архитектуре: что такое OAuth 2.0?,делегирование доступа к ресурсам без передачи пароля,0,supplemental
sup218,В корпоративной ИТ-архитектуре: что такое OAuth 2.0?,шифрование диска на уровне ОС,1,supplemental
sup219,В корпоративной ИТ-архитектуре: что такое JWT?,подписанный токен с claims для аутентификации,0,supplemental
sup220,В корпоративной ИТ-архитектуре: что такое JWT?,формат сжатия изображений WebP,1,supplemental
sup221,В корпоративной ИТ-архитектуре: что такое LDAP?,протокол доступа к каталогу пользователей и групп,0,supplemental
sup222,В корпоративной ИТ-архитектуре: что такое LDAP?,протокол потокового видео RTSP,1,supplemental
sup223,В корпоративной ИТ-архитектуре: что такое CI/CD?,непрерывная интеграция и доставка артефактов,0,supplemental
sup224,В корпоративной ИТ-архитектуре: что такое CI/CD?,ручное копирование билдов по USB,1,supplemental
sup225,В корпоративной ИТ-архитектуре: что такое Terraform?,инфраструктура как код (IaC),0,supplemental
sup226,В корпоративной ИТ-архитектуре: что такое Terraform?,инструмент нагрузочного тестирования JMeter,1,supplemental
sup227,В корпоративной ИТ-архитектуре: что такое Ansible?,конфигурация без агента по SSH,0,supplemental
sup228,В корпоративной ИТ-архитектуре: что такое Ansible?,мониторинг метрик времени отклика APM,1,supplemental
sup229,В корпоративной ИТ-архитектуре: что такое Git?,распределённая система контроля версий,0,supplemental
sup230,В корпоративной ИТ-архитектуре: что такое Git?,протокол маршрутизации BGP,1,supplemental
sup231,В корпоративной ИТ-архитектуре: что такое Микросервисы?,независимо развёртываемые слабо связанные сервисы,0,supplemental
sup232,В корпоративной ИТ-архитектуре: что такое Микросервисы?,один монолитный процесс без API,1,supplemental
sup233,В корпоративной ИТ-архитектуре: что такое API Gateway?,"единая точка входа, маршрутизация и политики для API",0,supplemental
sup234,В корпоративной ИТ-архитектуре: что такое API Gateway?,хранилище бэкапов на ленте,1,supplemental
sup235,В корпоративной ИТ-архитектуре: что такое Service mesh (например Istio)?,управление трафиком mTLS и observability между сервисами,0,supplemental
sup236,В корпоративной ИТ-архитектуре: что такое Service mesh (например Istio)?,кластерная файловая система HDFS,1,supplemental
sup237,В корпоративной ИТ-архитектуре: что такое Blue-green deployment?,два идентичных окружения с переключением трафика,0,supplemental
sup238,В корпоративной ИТ-архитектуре: что такое Blue-green deployment?,канареечный релиз без второго окружения,1,supplemental
sup239,В корпоративной ИТ-архитектуре: что такое SLA?,договорённость об уровне сервиса (доступность и т.д.),0,supplemental
sup240,В корпоративной ИТ-архитектуре: что такое SLA?,метрика использования CPU в контейнере,1,supplemental
sup241,В корпоративной ИТ-архитектуре: что такое CAP-теорема?,"в распределённой системе нельзя одновременно гарантировать C, A и P при сетевом разделении",0,supplemental
sup242,В корпоративной ИТ-архитектуре: что такое CAP-теорема?,все три свойства всегда достижимы без компромиссов,1,supplemental
sup243,В корпоративной ИТ-архитектуре: что такое CQRS?,разделение команд и запросов для разных моделей,0,supplemental
sup244,В корпоративной ИТ-архитектуре: что такое CQRS?,шифрование данных на транспортном уровне TLS,1,supplemental
sup245,В корпоративной ИТ-архитектуре: что такое Event sourcing?,хранение последовательности событий как источника истины,0,supplemental
sup246,В корпоративной ИТ-архитектуре: что такое Event sourcing?,хранение только последнего снимка без истории,1,supplemental
sup247,В корпоративной ИТ-архитектуре: что такое 12-factor app?,"методология облачных приложений (конфиг, логи, порты)",0,supplemental
sup248,В корпоративной ИТ-архитектуре: что такое 12-factor app?,набор правил оформления SQL-запросов,1,supplemental
sup249,В корпоративной ИТ-архитектуре: что такое CDN?,геораспределённое кэширование статического контента,0,supplemental
sup250,В корпоративной ИТ-архитектуре: что такое CDN?,централизованный LDAP-каталог,1,supplemental
sup251,В корпоративной ИТ-архитектуре: что такое WAF?,фильтрация HTTP-атак на уровне приложения,0,supplemental
sup252,В корпоративной ИТ-архитектуре: что такое WAF?,межсетевой экран только на уровне IP без L7,1,supplemental
sup253,В корпоративной ИТ-архитектуре: что такое Feature flags?,включение функций без нового деплоя,0,supplemental
sup254,В корпоративной ИТ-архитектуре: что такое Feature flags?,версионирование схемы базы данных Flyway,1,supplemental
sup255,В корпоративной ИТ-архитектуре: что такое Idempotency ключа в API?,повтор запроса не меняет результат сверх ожидания,0,supplemental
sup256,В корпоративной ИТ-архитектуре: что такое Idempotency ключа в API?,гарантия ровно одной доставки без дедупликации,1,supplemental
sup257,В корпоративной ИТ-архитектуре: что такое Kubernetes Pod?,минимальная развёртываемая единица с контейнерами,0,supplemental
sup258,В корпоративной ИТ-архитектуре: что такое Kubernetes Pod?,постоянный том SAN вне кластера,1,supplemental
sup259,В корпоративной ИТ-архитектуре: что такое Horizontal Pod Autoscaler?,масштабирование реплик по метрикам,0,supplemental
sup260,В корпоративной ИТ-архитектуре: что такое Horizontal Pod Autoscaler?,ручное изменение числа нод без метрик,1,supplemental
sup261,В корпоративной ИТ-архитектуре: что такое Ingress в Kubernetes?,правила входящего HTTP/S трафика в кластер,0,supplemental
sup262,В корпоративной ИТ-архитектуре: что такое Ingress в Kubernetes?,исходящий egress-only файрвол без маршрутов,1,supplemental
sup263,В корпоративной ИТ-архитектуре: что такое StatefulSet?,упорядоченное развёртывание stateful-приложений,0,supplemental
sup264,В корпоративной ИТ-архитектуре: что такое StatefulSet?,разовый Job без сохранения идентичности,1,supplemental
sup265,В корпоративной ИТ-архитектуре: что такое CronJob в Kubernetes?,периодические задачи по расписанию,0,supplemental
sup266,В корпоративной ИТ-архитектуре: что такое CronJob в Kubernetes?,DaemonSet на каждой ноде,1,supplemental
sup267,В корпоративной ИТ-архитектуре: что такое RBAC в Kubernetes?,роли и привязки для доступа к API,0,supplemental
sup268,В корпоративной ИТ-архитектуре: что такое RBAC в Kubernetes?,шифрование секретов AES без политик доступа,1,supplemental
sup269,В корпоративной ИТ-архитектуре: что такое NetworkPolicy?,сегментация трафика между подами,0,supplemental
sup270,В корпоративной ИТ-архитектуре: что такое NetworkPolicy?,балансировка L7 без политик,1,supplemental
sup271,В корпоративной ИТ-архитектуре: что такое Helm chart?,шаблон манифестов и values для релиза,0,supplemental
sup272,В корпоративной ИТ-архитектуре: что такое Helm chart?,образ контейнера без манифестов,1,supplemental
sup273,В корпоративной ИТ-архитектуре: что такое Canary deployment?,постепенный перевод трафика на новую версию,0,supplemental
sup274,В корпоративной ИТ-архитектуре: что такое Canary deployment?,мгновенное 100% переключение без метрик,1,supplemental
sup275,В корпоративной ИТ-архитектуре: что такое Distributed tracing (OpenTelemetry)?,сквозные трассировки запросов между сервисами,0,supplemental
sup276,В корпоративной ИТ-архитектуре: что такое Distributed tracing (OpenTelemetry)?,только агрегированные логи без correlation id,1,supplemental
sup277,В корпоративной ИТ-архитектуре: что такое Dead letter queue?,"очередь для сообщений, которые нельзя обработать",0,supplemental
sup278,В корпоративной ИТ-архитектуре: что такое Dead letter queue?,очередь с гарантией FIFO без повторов,1,supplemental
sup279,В корпоративной ИТ-архитектуре: что такое Circuit breaker?,остановка каскадных сбоев при деградации зависимости,0,supplemental
sup280,В корпоративной ИТ-архитектуре: что такое Circuit breaker?,увеличение таймаутов без ограничения вызовов,1,supplemental
sup281,В корпоративной информационной безопасности: что описывает или означает «OWASP Top 10»?,обзор критичных веб-уязвимостей,0,supplemental
sup282,В корпоративной информационной безопасности: что описывает или означает «OWASP Top 10»?,стандарт шифрования дисков BitLocker,1,supplemental
sup283,В корпоративной информационной безопасности: что описывает или означает «XSS»?,"внедрение скрипта в контент, исполняемый браузером",0,supplemental
sup284,В корпоративной информационной безопасности: что описывает или означает «XSS»?,перехват пакетов на канальном уровне L2,1,supplemental
sup285,В корпоративной информационной безопасности: что описывает или означает «CSRF»?,принуждение браузера выполнить действие от имени пользователя,0,supplemental
sup286,В корпоративной информационной безопасности: что описывает или означает «CSRF»?,угадывание пароля методом перебора,1,supplemental
sup287,В корпоративной информационной безопасности: что описывает или означает «SQL-инъекция»?,внедрение SQL через недостаточную фильтрацию входа,0,supplemental
sup288,В корпоративной информационной безопасности: что описывает или означает «SQL-инъекция»?,атака на физический слой Wi-Fi,1,supplemental
sup289,В корпоративной информационной безопасности: что описывает или означает «TLS 1.3»?,современный протокол записи с минимальным RTT handshake,0,supplemental
sup290,В корпоративной информационной безопасности: что описывает или означает «TLS 1.3»?,протокол передачи файлов FTP без шифрования,1,supplemental
sup291,В корпоративной информационной безопасности: что описывает или означает «AES-256»?,симметричное блочное шифрование с ключом 256 бит,0,supplemental
sup292,В корпоративной информационной безопасности: что описывает или означает «AES-256»?,асимметричный алгоритм RSA-2048 для сеансовых ключей без гибрида,1,supplemental
sup293,В корпоративной информационной безопасности: что описывает или означает «MFA»?,несколько факторов аутентификации,0,supplemental
sup294,В корпоративной информационной безопасности: что описывает или означает «MFA»?,один только пароль без второго фактора,1,supplemental
sup295,В корпоративной информационной безопасности: что описывает или означает «RBAC»?,роли и права доступа к объектам,0,supplemental
sup296,В корпоративной информационной безопасности: что описывает или означает «RBAC»?,биометрия как единственный фактор без политик,1,supplemental
sup297,В корпоративной информационной безопасности: что описывает или означает «Принцип наименьших привилегий»?,минимально необходимые права для задачи,0,supplemental
sup298,В корпоративной информационной безопасности: что описывает или означает «Принцип наименьших привилегий»?,выдача admin всем сервисным учёткам,1,supplemental
sup299,В корпоративной информационной безопасности: что описывает или означает «Zero Trust»?,"не доверять по умолчанию, проверять каждый доступ",0,supplemental
sup300,В корпоративной информационной безопасности: что описывает или означает «Zero Trust»?,доверие внутри периметра без проверок,1,supplemental
sup301,В корпоративной информационной безопасности: что описывает или означает «EDR»?,мониторинг конечных точек и реагирование на инциденты,0,supplemental
sup302,В корпоративной информационной безопасности: что описывает или означает «EDR»?,только сетевой IDS без агентов на хостах,1,supplemental
sup303,В корпоративной информационной безопасности: что описывает или означает «DLP»?,предотвращение утечек конфиденциальных данных,0,supplemental
sup304,В корпоративной информационной безопасности: что описывает или означает «DLP»?,распределённая трассировка микросервисов,1,supplemental
sup305,В корпоративной информационной безопасности: что описывает или означает «SIEM»?,корреляция событий безопасности из многих источников,0,supplemental
sup306,В корпоративной информационной безопасности: что описывает или означает «SIEM»?,только антивирусные сигнатуры на одном хосте,1,supplemental
sup307,В корпоративной информационной безопасности: что описывает или означает «Пентест»?,согласованная имитация атаки для поиска уязвимостей,0,supplemental
sup308,В корпоративной информационной безопасности: что описывает или означает «Пентест»?,непрерывный деплой приложений,1,supplemental
sup309,В корпоративной информационной безопасности: что описывает или означает «Air gap»?,изолированная сеть без прямого выхода в интернет,0,supplemental
sup310,В корпоративной информационной безопасности: что описывает или означает «Air gap»?,VPN поверх публичного Wi-Fi без изоляции,1,supplemental
sup311,В корпоративной информационной безопасности: что описывает или означает «VPN site-to-site»?,зашифрованный туннель между площадками,0,supplemental
sup312,В корпоративной информационной безопасности: что описывает или означает «VPN site-to-site»?,простой NAT без шифрования,1,supplemental
sup313,В корпоративной информационной безопасности: что описывает или означает «IPsec»?,набор протоколов для защищённой передачи на сетевом уровне,0,supplemental
sup314,В корпоративной информационной безопасности: что описывает или означает «IPsec»?,прикладной протокол SMTP,1,supplemental
sup315,В корпоративной информационной безопасности: что описывает или означает «HSTS»?,принудительный HTTPS для домена в браузере,0,supplemental
sup316,В корпоративной информационной безопасности: что описывает или означает «HSTS»?,сжатие HTTP-ответов gzip,1,supplemental
